Capacity,Datetime,Occupancy
220,2016/10/4 7:59,61
220,2016/10/4 8:25,95
220,2016/10/4 8:59,146
220,2016/10/4 9:32,179
220,2016/10/4 9:59,203
220,2016/10/4 10:26,212
220,2016/10/4 10:59,217
220,2016/10/4 11:25,208
220,2016/10/4 11:59,217
220,2016/10/4 12:29,219
220,2016/10/4 13:02,202
220,2016/10/4 13:29,198
220,2016/10/4 14:02,193
220,2016/10/4 14:29,188
220,2016/10/4 14:57,180
220,2016/10/4 15:30,170
220,2016/10/4 16:04,158
220,2016/10/4 16:31,141
220,2016/10/5 7:57,53
220,2016/10/5 8:30,93
220,2016/10/5 9:04,141
220,2016/10/5 9:30,163
220,2016/10/5 10:04,189
220,2016/10/5 10:30,194
220,2016/10/5 11:04,204
220,2016/10/5 11:30,205
220,2016/10/5 12:04,206
220,2016/10/5 12:30,212
220,2016/10/5 12:57,214
220,2016/10/5 13:30,215
220,2016/10/5 13:57,207
220,2016/10/5 14:30,206
220,2016/10/5 14:57,197
220,2016/10/5 15:30,189
220,2016/10/5 16:04,176
220,2016/10/5 16:30,159
220,2016/10/6 7:57,59
220,2016/10/6 8:30,94
220,2016/10/6 8:57,135
220,2016/10/6 9:30,157
220,2016/10/6 10:03,180
220,2016/10/6 10:30,194
220,2016/10/6 10:57,204
220,2016/10/6 11:30,207
220,2016/10/6 12:04,213
220,2016/10/6 12:30,215
220,2016/10/6 12:57,213
220,2016/10/6 13:30,211
220,2016/10/6 13:57,211
220,2016/10/6 14:30,206
220,2016/10/6 15:04,200
220,2016/10/6 15:31,191
220,2016/10/6 16:04,172
220,2016/10/6 16:30,153
220,2016/10/7 8:03,52
220,2016/10/7 8:30,86
220,2016/10/7 9:04,133
220,2016/10/7 9:30,157
220,2016/10/7 9:57,160
220,2016/10/7 10:30,169
220,2016/10/7 10:57,177
220,2016/10/7 11:30,178
220,2016/10/7 12:03,182
220,2016/10/7 12:30,182
220,2016/10/7 13:04,180
220,2016/10/7 13:30,179
220,2016/10/7 14:03,178
220,2016/10/7 14:30,175
220,2016/10/7 15:04,168
220,2016/10/7 15:30,162
220,2016/10/7 15:57,151
220,2016/10/7 16:30,136
220,2016/10/8 7:57,30
220,2016/10/8 8:30,32
220,2016/10/8 8:57,32
220,2016/10/8 9:30,31
220,2016/10/8 10:04,32
220,2016/10/8 10:30,32
220,2016/10/8 10:57,30
220,2016/10/8 11:30,22
220,2016/10/8 12:04,23
220,2016/10/8 12:30,25
220,2016/10/8 13:04,25
220,2016/10/8 13:30,24
220,2016/10/8 14:03,25
220,2016/10/8 14:30,27
220,2016/10/8 14:57,26
220,2016/10/8 15:30,27
220,2016/10/8 16:04,27
220,2016/10/8 16:30,33
220,2016/10/9 8:04,27
220,2016/10/9 8:30,27
220,2016/10/9 9:04,25
220,2016/10/9 9:30,25
220,2016/10/9 9:57,25
220,2016/10/9 10:30,26
220,2016/10/9 11:04,29
220,2016/10/9 11:30,27
220,2016/10/9 11:57,28
220,2016/10/9 12:30,22
220,2016/10/9 13:04,18
220,2016/10/9 13:30,18
220,2016/10/9 14:03,18
220,2016/10/9 14:30,17
220,2016/10/9 15:04,17
220,2016/10/9 15:30,20
220,2016/10/9 16:03,20
220,2016/10/9 16:30,17
220,2016/10/10 8:04,53
220,2016/10/10 8:30,80
220,2016/10/10 9:04,138
220,2016/10/10 9:30,162
220,2016/10/10 10:03,179
220,2016/10/10 10:30,182
220,2016/10/10 10:57,184
220,2016/10/10 11:30,196
220,2016/10/10 11:57,208
220,2016/10/10 12:30,210
220,2016/10/10 13:04,213
220,2016/10/10 13:30,197
220,2016/10/10 14:03,199
220,2016/10/10 14:30,192
220,2016/10/10 14:57,187
220,2016/10/10 15:30,181
220,2016/10/10 15:57,169
220,2016/10/10 16:30,144
220,2016/10/11 8:04,60
220,2016/10/11 8:30,92
220,2016/10/11 8:57,129
220,2016/10/11 9:30,166
220,2016/10/11 9:57,195
220,2016/10/11 10:30,209
220,2016/10/11 10:57,213
220,2016/10/11 11:30,204
220,2016/10/11 12:03,208
220,2016/10/11 12:30,206
220,2016/10/11 13:04,205
220,2016/10/11 13:31,206
220,2016/10/11 14:04,205
220,2016/10/11 14:30,199
220,2016/10/11 15:03,190
220,2016/10/11 15:33,178
220,2016/10/11 16:01,169
220,2016/10/11 16:26,156
220,2016/10/12 8:04,52
220,2016/10/12 8:31,84
220,2016/10/12 9:03,136
220,2016/10/12 9:26,150
220,2016/10/12 10:01,181
220,2016/10/12 10:31,191
220,2016/10/12 11:04,197
220,2016/10/12 11:31,205
220,2016/10/12 12:04,207
220,2016/10/12 12:31,205
220,2016/10/12 13:04,203
220,2016/10/12 13:34,204
220,2016/10/12 14:03,200
220,2016/10/12 14:34,199
220,2016/10/12 15:01,190
220,2016/10/12 15:30,180
220,2016/10/12 15:57,170
220,2016/10/12 16:31,158
220,2016/10/13 7:57,46
220,2016/10/13 8:31,47
220,2016/10/13 9:04,98
220,2016/10/13 9:31,132
220,2016/10/13 9:57,150
220,2016/10/13 10:31,157
220,2016/10/13 11:04,161
220,2016/10/13 11:31,166
220,2016/10/13 11:57,172
220,2016/10/13 12:31,174
220,2016/10/13 13:04,174
220,2016/10/13 13:31,176
220,2016/10/13 13:57,170
220,2016/10/13 14:31,164
220,2016/10/13 15:04,160
220,2016/10/13 15:31,155
220,2016/10/13 16:04,144
220,2016/10/13 16:31,133
220,2016/10/14 8:01,58
220,2016/10/14 8:27,81
220,2016/10/14 9:01,128
220,2016/10/14 9:27,147
220,2016/10/14 10:01,165
220,2016/10/14 10:27,171
220,2016/10/14 11:01,179
220,2016/10/14 11:27,183
220,2016/10/14 12:01,184
220,2016/10/14 12:27,187
220,2016/10/14 13:01,186
220,2016/10/14 13:27,187
220,2016/10/14 14:01,188
220,2016/10/14 14:34,181
220,2016/10/14 15:01,171
220,2016/10/14 15:27,165
220,2016/10/14 16:01,159
220,2016/10/14 16:34,144
220,2016/10/15 8:01,31
220,2016/10/15 8:34,39
220,2016/10/15 9:01,42
220,2016/10/15 9:27,42
220,2016/10/15 10:01,43
220,2016/10/15 10:27,41
220,2016/10/15 11:01,42
220,2016/10/15 11:27,44
220,2016/10/15 12:01,45
220,2016/10/15 12:27,45
220,2016/10/15 13:01,47
220,2016/10/15 13:34,48
220,2016/10/15 14:01,50
220,2016/10/15 14:27,51
220,2016/10/15 15:01,52
220,2016/10/15 15:27,51
220,2016/10/15 16:01,52
220,2016/10/15 16:27,51
220,2016/10/16 8:04,34
220,2016/10/16 8:27,41
220,2016/10/16 9:01,46
220,2016/10/16 9:27,52
220,2016/10/16 10:04,56
220,2016/10/16 10:34,59
220,2016/10/16 11:01,66
220,2016/10/16 11:27,72
220,2016/10/16 12:01,73
220,2016/10/16 12:27,72
220,2016/10/16 13:01,77
220,2016/10/16 13:27,74
220,2016/10/16 14:01,70
220,2016/10/16 14:34,64
220,2016/10/16 15:01,60
220,2016/10/16 15:31,61
220,2016/10/16 15:57,57
220,2016/10/16 16:31,57
220,2016/10/17 8:01,48
220,2016/10/17 8:27,72
220,2016/10/17 9:01,133
220,2016/10/17 9:27,154
220,2016/10/17 10:04,181
220,2016/10/17 10:31,188
220,2016/10/17 11:04,197
220,2016/10/17 11:31,201
220,2016/10/17 12:04,206
220,2016/10/17 12:31,209
220,2016/10/17 12:57,208
220,2016/10/17 13:31,208
220,2016/10/17 14:04,210
220,2016/10/17 14:31,207
220,2016/10/17 14:57,201
220,2016/10/17 15:31,194
220,2016/10/17 15:57,195
220,2016/10/17 16:28,180
220,2016/10/18 8:01,60
220,2016/10/18 8:28,88
220,2016/10/18 9:01,142
220,2016/10/18 9:28,164
220,2016/10/18 10:01,193
220,2016/10/18 10:28,198
220,2016/10/18 11:01,212
220,2016/10/18 11:27,220
220,2016/10/18 12:01,218
220,2016/10/18 12:27,220
220,2016/10/18 13:01,219
220,2016/10/18 13:28,217
220,2016/10/18 13:54,214
220,2016/10/18 14:27,212
220,2016/10/18 15:01,207
220,2016/10/18 15:27,201
220,2016/10/18 15:55,186
220,2016/10/18 16:27,166
220,2016/10/19 8:05,61
220,2016/10/19 8:25,84
220,2016/10/19 8:58,145
220,2016/10/19 9:32,178
220,2016/10/19 9:58,196
220,2016/10/19 10:25,203
220,2016/10/19 10:59,215
220,2016/10/19 11:25,210
220,2016/10/19 11:59,171
220,2016/10/19 12:25,179
220,2016/10/19 12:58,181
220,2016/10/19 13:25,182
220,2016/10/19 13:58,178
220,2016/10/19 14:32,175
220,2016/10/19 14:58,167
220,2016/10/19 15:32,166
220,2016/10/19 15:59,160
220,2016/10/19 16:25,152
220,2016/10/22 7:59,28
220,2016/10/22 8:26,29
220,2016/10/22 8:59,34
220,2016/10/22 9:26,37
220,2016/10/22 9:59,35
220,2016/10/22 10:26,37
220,2016/10/22 10:59,40
220,2016/10/22 11:32,38
220,2016/10/22 11:59,42
220,2016/10/22 12:32,44
220,2016/10/22 12:59,44
220,2016/10/22 13:32,47
220,2016/10/22 13:59,46
220,2016/10/22 14:39,49
220,2016/10/22 14:59,50
220,2016/10/22 15:26,50
220,2016/10/22 15:59,48
220,2016/10/22 16:26,44
220,2016/10/24 7:56,51
220,2016/10/24 8:29,94
220,2016/10/24 9:03,139
220,2016/10/24 9:30,153
220,2016/10/24 9:55,167
220,2016/10/24 10:30,179
220,2016/10/24 11:03,183
220,2016/10/24 11:29,182
220,2016/10/24 12:02,193
220,2016/10/24 12:30,196
220,2016/10/24 12:56,195
220,2016/10/24 13:30,198
220,2016/10/24 13:56,198
220,2016/10/24 14:30,198
220,2016/10/24 14:56,194
220,2016/10/24 15:32,191
220,2016/10/24 16:00,181
220,2016/10/24 16:33,162
220,2016/10/25 8:00,54
220,2016/10/25 8:26,85
220,2016/10/25 9:00,135
220,2016/10/25 9:19,145
220,2016/10/25 9:56,164
220,2016/10/25 10:29,176
220,2016/10/25 10:56,179
220,2016/10/25 11:29,184
220,2016/10/25 12:02,219
220,2016/10/25 12:29,219
220,2016/10/25 13:03,218
220,2016/10/25 13:29,217
220,2016/10/25 13:56,216
220,2016/10/25 14:29,219
220,2016/10/25 15:02,198
220,2016/10/25 15:29,198
220,2016/10/25 15:56,185
220,2016/10/25 16:29,169
220,2016/10/26 7:59,47
220,2016/10/26 8:32,80
220,2016/10/26 8:59,133
220,2016/10/26 9:26,150
220,2016/10/26 9:59,170
220,2016/10/26 10:26,176
220,2016/10/26 10:59,182
220,2016/10/26 11:26,189
220,2016/10/26 11:59,197
220,2016/10/26 12:26,200
220,2016/10/26 12:59,201
220,2016/10/26 13:26,202
220,2016/10/26 13:59,212
220,2016/10/26 14:26,215
220,2016/10/26 14:59,216
220,2016/10/26 15:26,211
220,2016/10/26 15:59,201
220,2016/10/26 16:32,181
220,2016/10/27 7:59,65
220,2016/10/27 8:32,109
220,2016/10/27 8:59,152
220,2016/10/27 9:32,162
220,2016/10/27 9:59,182
220,2016/10/27 10:25,190
220,2016/10/27 10:59,193
220,2016/10/27 11:32,194
220,2016/10/27 11:59,206
220,2016/10/27 12:26,213
220,2016/10/27 12:59,201
220,2016/10/27 13:32,220
220,2016/10/27 13:59,202
220,2016/10/27 14:26,197
220,2016/10/27 14:59,190
220,2016/10/27 15:26,184
220,2016/10/27 15:59,173
220,2016/10/27 16:26,158
220,2016/10/28 8:16,72
220,2016/10/28 8:16,72
220,2016/10/28 8:56,133
220,2016/10/28 9:29,145
220,2016/10/28 10:02,158
220,2016/10/28 10:29,161
220,2016/10/28 10:56,164
220,2016/10/28 11:29,168
220,2016/10/28 12:02,170
220,2016/10/28 12:29,173
220,2016/10/28 13:02,171
220,2016/10/28 13:29,169
220,2016/10/28 14:02,169
220,2016/10/28 14:29,167
220,2016/10/28 15:02,169
220,2016/10/28 15:29,167
220,2016/10/28 16:02,157
220,2016/10/28 16:29,143
220,2016/10/29 7:59,38
220,2016/10/29 8:26,38
220,2016/10/29 8:59,44
220,2016/10/29 9:26,47
220,2016/10/29 9:59,48
220,2016/10/29 10:26,48
220,2016/10/29 10:59,48
220,2016/10/29 11:25,40
220,2016/10/29 12:06,37
220,2016/10/29 12:26,39
220,2016/10/29 12:59,39
220,2016/10/29 13:26,44
220,2016/10/29 13:59,47
220,2016/10/29 14:26,44
220,2016/10/29 14:59,44
220,2016/10/29 15:26,45
220,2016/10/29 15:59,48
220,2016/10/29 16:26,47
220,2016/10/30 7:59,36
220,2016/10/30 7:59,36
220,2016/10/30 7:59,36
220,2016/10/30 8:25,35
220,2016/10/30 8:59,38
220,2016/10/30 9:25,37
220,2016/10/30 9:59,38
220,2016/10/30 10:25,37
220,2016/10/30 10:59,33
220,2016/10/30 11:25,33
220,2016/10/30 11:59,24
220,2016/10/30 12:26,24
220,2016/10/30 13:06,22
220,2016/10/30 13:25,22
220,2016/10/30 13:59,28
220,2016/10/30 14:32,26
220,2016/10/30 15:00,23
220,2016/10/30 15:32,23
220,2016/10/31 8:00,57
220,2016/10/31 8:26,78
220,2016/10/31 9:00,140
220,2016/10/31 9:26,165
220,2016/10/31 10:00,185
220,2016/10/31 10:26,194
220,2016/10/31 11:00,199
220,2016/10/31 11:26,199
220,2016/10/31 12:00,208
220,2016/10/31 12:26,208
220,2016/10/31 13:00,206
220,2016/10/31 13:26,206
220,2016/10/31 13:59,201
220,2016/10/31 14:26,200
220,2016/10/31 15:00,194
220,2016/10/31 15:27,188
220,2016/10/31 16:00,176
220,2016/10/31 16:26,167
220,2016/11/1 8:06,66
220,2016/11/1 8:26,92
220,2016/11/1 9:00,148
220,2016/11/1 9:26,168
220,2016/11/1 10:00,200
220,2016/11/1 10:26,204
220,2016/11/1 11:00,215
220,2016/11/1 11:26,190
220,2016/11/1 12:00,204
220,2016/11/1 12:26,207
220,2016/11/1 13:00,213
220,2016/11/1 13:26,214
220,2016/11/1 14:00,208
220,2016/11/1 14:26,210
220,2016/11/1 15:00,204
220,2016/11/1 15:27,190
220,2016/11/1 16:00,178
220,2016/11/1 16:33,155
220,2016/11/2 7:56,46
220,2016/11/2 8:30,77
220,2016/11/2 8:56,129
220,2016/11/2 9:30,155
220,2016/11/2 9:56,173
220,2016/11/2 10:29,184
220,2016/11/2 10:56,194
220,2016/11/2 11:30,204
220,2016/11/2 11:56,219
220,2016/11/2 12:30,219
220,2016/11/2 13:03,220
220,2016/11/2 13:30,216
220,2016/11/2 14:03,219
220,2016/11/2 14:30,220
220,2016/11/2 14:56,215
220,2016/11/2 15:29,213
220,2016/11/2 16:03,202
220,2016/11/2 16:30,181
220,2016/11/3 8:00,73
220,2016/11/3 8:00,73
220,2016/11/3 8:26,95
220,2016/11/3 9:00,152
220,2016/11/3 9:26,170
220,2016/11/3 10:00,193
220,2016/11/3 10:26,193
220,2016/11/3 11:00,210
220,2016/11/3 11:26,215
220,2016/11/3 12:00,202
220,2016/11/3 12:26,204
220,2016/11/3 12:59,205
220,2016/11/3 13:26,203
220,2016/11/3 13:59,204
220,2016/11/3 14:26,202
220,2016/11/3 15:00,192
220,2016/11/3 15:33,189
220,2016/11/3 16:30,142
220,2016/11/4 8:00,67
220,2016/11/4 8:26,92
220,2016/11/4 8:59,144
220,2016/11/4 9:33,163
220,2016/11/4 10:00,173
220,2016/11/4 10:26,180
220,2016/11/4 11:00,187
220,2016/11/4 11:33,193
220,2016/11/4 12:00,194
220,2016/11/4 12:33,194
220,2016/11/4 13:00,194
220,2016/11/4 13:26,195
220,2016/11/4 13:59,195
220,2016/11/4 14:26,193
220,2016/11/4 15:00,184
220,2016/11/4 15:26,178
220,2016/11/4 16:00,173
220,2016/11/4 16:26,157
220,2016/11/5 8:00,57
220,2016/11/5 8:26,58
220,2016/11/5 8:59,64
220,2016/11/5 9:26,66
220,2016/11/5 9:59,68
220,2016/11/5 10:33,69
220,2016/11/5 10:59,68
220,2016/11/5 11:26,65
220,2016/11/5 12:06,69
220,2016/11/5 12:26,70
220,2016/11/5 13:00,71
220,2016/11/5 13:33,73
220,2016/11/5 13:59,70
220,2016/11/5 14:26,71
220,2016/11/5 15:00,72
220,2016/11/5 15:26,69
220,2016/11/5 16:00,69
220,2016/11/5 16:26,65
220,2016/11/6 8:00,28
220,2016/11/6 8:26,28
220,2016/11/6 9:00,30
220,2016/11/6 9:33,30
220,2016/11/6 10:00,31
220,2016/11/6 10:26,31
220,2016/11/6 10:59,32
220,2016/11/6 11:26,31
220,2016/11/6 11:59,32
220,2016/11/6 12:26,34
220,2016/11/6 13:06,39
220,2016/11/6 13:26,37
220,2016/11/6 13:59,42
220,2016/11/6 14:33,46
220,2016/11/6 15:00,51
220,2016/11/6 15:26,53
220,2016/11/6 15:59,54
220,2016/11/6 16:26,58
220,2016/11/7 8:00,43
220,2016/11/7 8:26,72
220,2016/11/7 8:59,131
220,2016/11/7 9:26,156
220,2016/11/7 9:59,182
220,2016/11/7 10:26,180
220,2016/11/7 10:59,187
220,2016/11/7 11:26,188
220,2016/11/7 11:59,202
220,2016/11/7 12:26,201
220,2016/11/7 12:59,199
220,2016/11/7 13:33,201
220,2016/11/7 13:59,202
220,2016/11/7 14:33,201
220,2016/11/7 15:00,194
220,2016/11/7 15:33,192
220,2016/11/7 16:00,177
220,2016/11/7 16:33,169
220,2016/11/8 7:59,51
220,2016/11/8 8:26,72
220,2016/11/8 8:59,143
220,2016/11/8 9:26,151
220,2016/11/8 9:59,151
220,2016/11/8 10:33,151
220,2016/11/8 11:00,151
220,2016/11/8 11:33,218
220,2016/11/8 11:59,212
220,2016/11/8 12:27,214
220,2016/11/8 13:00,210
220,2016/11/8 13:34,211
220,2016/11/8 14:00,209
220,2016/11/8 14:26,201
220,2016/11/8 15:00,194
220,2016/11/8 15:33,185
220,2016/11/8 16:01,166
220,2016/11/8 16:34,153
220,2016/11/9 8:00,19
220,2016/11/9 8:27,19
220,2016/11/9 9:00,19
220,2016/11/9 9:34,19
220,2016/11/9 10:00,19
220,2016/11/9 10:27,19
220,2016/11/9 11:00,19
220,2016/11/9 11:27,19
220,2016/11/9 12:00,19
220,2016/11/9 12:27,19
220,2016/11/9 13:00,19
220,2016/11/9 13:27,19
220,2016/11/9 14:00,19
220,2016/11/9 14:27,19
220,2016/11/9 15:00,199
220,2016/11/9 15:34,191
220,2016/11/9 16:00,173
220,2016/11/9 16:34,152
220,2016/11/10 8:00,58
220,2016/11/10 8:34,95
220,2016/11/10 9:00,156
220,2016/11/10 9:27,172
220,2016/11/10 10:00,201
220,2016/11/10 10:27,201
220,2016/11/10 11:00,206
220,2016/11/10 11:27,210
220,2016/11/10 12:00,220
220,2016/11/10 12:27,199
220,2016/11/10 13:00,220
220,2016/11/10 13:34,207
220,2016/11/10 14:00,203
220,2016/11/10 14:27,199
220,2016/11/10 15:00,193
220,2016/11/10 15:27,186
220,2016/11/10 16:00,176
220,2016/11/10 16:27,164
220,2016/11/11 8:00,57
220,2016/11/11 8:27,81
220,2016/11/11 9:00,131
220,2016/11/11 9:27,153
220,2016/11/11 10:00,163
220,2016/11/11 10:27,168
220,2016/11/11 11:00,173
220,2016/11/11 11:27,180
220,2016/11/11 12:00,185
220,2016/11/11 12:27,184
